Started logging on 2023-09-05 09:23:55.719937
Listening on COM3
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.928106
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.929107
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.930178
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.931105
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.935824
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.939175
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.943174
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.947771
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.951726
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.955728
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.959728
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.963726
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.967939
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.971927
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.978348
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.980367
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.984365
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.988916
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.992927
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.001500
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.005478
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.009478
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.013478
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.017479
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.021132
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.030124
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.034125
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.037891
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.041859
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:57.045858
Received: X: 512, Y: 596, Button: 1 at 2023-09-05 09:23:57.049858
Received: X: 512, Y: 596, Button: 1 at 2023-09-05 09:23:57.053862
Received: X: 512, Y: 596, Button: 1 at 2023-09-05 09:23:57.058613
Received: X: 512, Y: 713, Button: 1 at 2023-09-05 09:23:57.062612
Received: X: 512, Y: 713, Button: 1 at 2023-09-05 09:23:57.066612
Received: X: 512, Y: 713, Button: 1 at 2023-09-05 09:23:57.070762
Received: X: 512, Y: 843, Button: 1 at 2023-09-05 09:23:57.074729
Received: X: 512, Y: 843, Button: 1 at 2023-09-05 09:23:57.078729
Received: X: 512, Y: 843, Button: 1 at 2023-09-05 09:23:57.082729
Received: X: 510, Y: 964, Button: 1 at 2023-09-05 09:23:57.091727
Received: X: 510, Y: 964, Button: 1 at 2023-09-05 09:23:57.095473
Received: X: 510, Y: 1023, Button: 1 at 2023-09-05 09:23:57.099233
Received: X: 510, Y: 1023, Button: 1 at 2023-09-05 09:23:57.103178
Received: X: 510, Y: 1023, Button: 1 at 2023-09-05 09:23:57.107171
Received: X: 510, Y: 1022, Button: 1 at 2023-09-05 09:23:57.111169
Received: X: 510, Y: 1022, Button: 1 at 2023-09-05 09:23:57.115171
Received: X: 510, Y: 1022, Button: 1 at 2023-09-05 09:23:57.120173
Received: X: 510, Y: 1023, Button: 1 at 2023-09-05 09:23:57.288000
Received: X: 510, Y: 1023, Button: 1 at 2023-09-05 09:23:57.292019
Received: X: 510, Y: 1023, Button: 1 at 2023-09-05 09:23:57.306514
Received: X: 510, Y: 1023, Button: 1 at 2023-09-05 09:23:57.316586
Received: X: 510, Y: 1023, Button: 1 at 2023-09-05 09:23:57.320711
Received: X: 512, Y: 1023, Button: 1 at 2023-09-05 09:23:57.324566
Received: X: 512, Y: 1023, Button: 1 at 2023-09-05 09:23:57.329196
Received: X: 512, Y: 1023, Button: 1 at 2023-09-05 09:23:57.332706
Received: X: 512, Y: 1023, Button: 1 at 2023-09-05 09:23:57.336692
Received: X: 512, Y: 1023, Button: 1 at 2023-09-05 09:23:57.341464
Received: X: 512, Y: 1023, Button: 1 at 2023-09-05 09:23:57.345464
Received: X: 512, Y: 1023, Button: 1 at 2023-09-05 09:23:57.349463
Received: X: 512, Y: 1023, Button: 1 at 2023-09-05 09:23:57.366174
Received: X: 484, Y: 1023, Button: 1 at 2023-09-05 09:23:57.374075
Received: X: 484, Y: 1023, Button: 1 at 2023-09-05 09:23:57.377701
Received: X: 484, Y: 1023, Button: 1 at 2023-09-05 09:23:57.381736
Received: X: 484, Y: 1023, Button: 1 at 2023-09-05 09:23:57.385732
Received: X: 420, Y: 1023, Button: 1 at 2023-09-05 09:23:57.389790
Received: X: 420, Y: 1023, Button: 1 at 2023-09-05 09:23:57.393788
Received: X: 420, Y: 1023, Button: 1 at 2023-09-05 09:23:57.398327
Received: X: 363, Y: 1023, Button: 1 at 2023-09-05 09:23:57.402329
Received: X: 363, Y: 1023, Button: 1 at 2023-09-05 09:23:57.406638
Received: X: 301, Y: 996, Button: 1 at 2023-09-05 09:23:57.428034
Received: X: 301, Y: 996, Button: 1 at 2023-09-05 09:23:57.431491
Received: X: 283, Y: 956, Button: 1 at 2023-09-05 09:23:57.434922
Received: X: 283, Y: 956, Button: 1 at 2023-09-05 09:23:57.439561
Received: X: 270, Y: 912, Button: 1 at 2023-09-05 09:23:57.443518
Received: X: 270, Y: 912, Button: 1 at 2023-09-05 09:23:57.447428
Received: X: 270, Y: 912, Button: 1 at 2023-09-05 09:23:57.451421
Received: X: 270, Y: 912, Button: 1 at 2023-09-05 09:23:57.452422
Received: X: 270, Y: 912, Button: 1 at 2023-09-05 09:23:57.452422
Received: X: 270, Y: 912, Button: 1 at 2023-09-05 09:23:57.453422
Received: X: 270, Y: 912, Button: 1 at 2023-09-05 09:23:57.455424
Received: X: 265, Y: 881, Button: 1 at 2023-09-05 09:23:57.459673
Received: X: 265, Y: 881, Button: 1 at 2023-09-05 09:23:57.463428
Received: X: 265, Y: 881, Button: 1 at 2023-09-05 09:23:57.467424
Received: X: 264, Y: 830, Button: 1 at 2023-09-05 09:23:57.471494
Received: X: 264, Y: 830, Button: 1 at 2023-09-05 09:23:57.476499
Received: X: 265, Y: 767, Button: 1 at 2023-09-05 09:23:57.480497
Received: X: 265, Y: 767, Button: 1 at 2023-09-05 09:23:57.484496
Received: X: 265, Y: 767, Button: 1 at 2023-09-05 09:23:57.488294
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.492275
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.493153
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.494154
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.494154
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.495153
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.495153
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.495153
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.496153
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.496153
Received: X: 259, Y: 713, Button: 1 at 2023-09-05 09:23:57.501115
Received: X: 258, Y: 686, Button: 1 at 2023-09-05 09:23:57.505060
Received: X: 258, Y: 686, Button: 1 at 2023-09-05 09:23:57.509026
Received: X: 258, Y: 686, Button: 1 at 2023-09-05 09:23:57.513137
Received: X: 259, Y: 654, Button: 1 at 2023-09-05 09:23:57.516736
Received: X: 259, Y: 654, Button: 1 at 2023-09-05 09:23:57.521587
Received: X: 259, Y: 654, Button: 1 at 2023-09-05 09:23:57.523078
Received: X: 259, Y: 654, Button: 1 at 2023-09-05 09:23:57.525586
Received: X: 259, Y: 603, Button: 1 at 2023-09-05 09:23:57.529118
Received: X: 259, Y: 603, Button: 1 at 2023-09-05 09:23:57.530119
Received: X: 259, Y: 603, Button: 1 at 2023-09-05 09:23:57.530119
Received: X: 259, Y: 603, Button: 1 at 2023-09-05 09:23:57.531118
Received: X: 259, Y: 603, Button: 1 at 2023-09-05 09:23:57.533119
Received: X: 251, Y: 543, Button: 1 at 2023-09-05 09:23:57.537120
Received: X: 251, Y: 543, Button: 1 at 2023-09-05 09:23:57.541395
Received: X: 251, Y: 543, Button: 1 at 2023-09-05 09:23:57.545393
